timestamp,gpu_utilization_percent,memory_used_mb,memory_total_mb,power_draw_w,temperature_c
2025/06/08 03:20:56.336, 0, 1, 81920, 42.03, 30
2025/06/08 03:20:59.333, 27, 71841, 81920, 98.50, 37
2025/06/08 03:20:59.356, 15, 8017, 81920, 63.77, 32
2025/06/08 03:20:59.368, 13, 8017, 81920, 61.73, 34
2025/06/08 03:20:59.784, 27, 71841, 81920, 103.46, 38
2025/06/08 03:20:59.8372025/06/08 03:20:59.838, 12, 5, 8017, 8017, 81920, 81920, 65.39, 61.95, 34, 32

2025/06/08 03:20:59.846, 0, 71841, 81920, 66.71, 37
2025/06/08 03:21:01.233, 12, 8017, 81920, 60.29, 30
2025/06/08 03:21:01.366, 0, 1, 81920, 42.03, 30
2025/06/08 03:21:04.381, 02025/06/08 03:21:04.384, 26, 71841, 81920, 103.37, 37
, 10331, 81920, 63.47, 33
2025/06/08 03:21:04.409, 0, 10331, 81920, 61.92, 34
2025/06/08 03:21:04.830, 25, 71841, 81920, 101.64, 38
2025/06/08 03:21:04.874, 13, 8017, 819202025/06/08 03:21:04.874, 61.46, 32, 12
, 8017, 81920, 66.18, 34
2025/06/08 03:21:06.267, 1, 9371, 81920, 60.01, 30
2025/06/08 03:21:06.407, 0, 1, 81920, 41.92, 29
2025/06/08 03:21:09.434, 0, 71841, 81920, 63.95, 34
2025/06/08 03:21:09.439, 0, 71841, 81920, 62.21, 35
2025/06/08 03:21:09.440, 27, 71841, 81920, 100.41, 37
2025/06/08 03:21:09.869, 24, 71841, 81920, 94.73, 38
2025/06/08 03:21:09.911, 100, 11349, 81920, 251.57, 41
2025/06/08 03:21:09.912, 100, 11349, 81920, 248.46, 37
2025/06/08 03:21:11.312, 0, 71841, 81920, 110.03, 32
2025/06/08 03:21:11.451, 0, 1, 81920, 41.92, 29
2025/06/08 03:21:14.467, 0, 71841, 81920, 62.00, 35
2025/06/08 03:21:14.470, 0, 71841, 81920, 63.87, 34
2025/06/08 03:21:14.494, 27, 71841, 81920, 104.09, 37
2025/06/08 03:21:14.915, 24, 71841, 81920, 94.07, 38
2025/06/08 03:21:14.949, 0, 71841, 81920, 64.62, 36
2025/06/08 03:21:14.962, 0, 71841, 81920, 60.42, 33
2025/06/08 03:21:16.342, 0, 71841, 81920, 59.84, 31
