epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26514,0.8307,4.49023,1.15877,0,0,0,0,0.83482,4.03893,1.04958,0.0955,0.0005,0.0005
2,20.8521,1.3546,3.54621,1.5799,0.02569,0.02762,0.02407,0.01376,1.75922,3.75816,1.82075,0.0900891,0.00108911,0.00108911
3,28.3517,1.17735,2.31364,1.44948,0.00131,0.1405,0.00211,0.00081,2.84438,inf,5.29305,0.0846663,0.00166634,0.00166634
4,37.3486,1.10759,1.91163,1.33385,0.0748,0.13326,0.00084,0.00025,3.42727,inf,28.1711,0.0792317,0.00223169,0.00223169
5,48.1681,1.09778,1.79478,1.34563,0.00102,0.16582,0.00117,0.00059,2.83791,inf,16.3998,0.0737852,0.00278516,0.00278516
6,62.509,1.16862,1.73501,1.37097,0,0,0,0,3.08394,inf,42.4464,0.0683268,0.00332675,0.00332675
7,76.841,1.11736,1.59352,1.34233,0,0,0,0,3.14335,inf,43.3525,0.0628565,0.00385646,0.00385646
8,90.512,1.10204,1.55261,1.34133,0,0,0,0,3.99134,inf,78.4686,0.0573743,0.00437429,0.00437429
9,104.529,1.13546,1.53953,1.36783,0.00014,0.00463,9e-05,2e-05,3.6052,inf,37.8653,0.0518802,0.00488024,0.00488024
10,118.769,1.12112,1.50731,1.34148,0.03867,0.02995,0.00111,0.00036,3.51332,inf,17.5565,0.0463743,0.00537431,0.00537431
11,132.611,1.13397,1.49986,1.36223,0.00193,0.11625,0.00134,0.00044,3.20477,inf,12.0608,0.0408565,0.0058565,0.0058565
12,146.505,1.10592,1.48433,1.33297,0.03907,0.0463,0.00217,0.00036,3.17828,inf,10.7274,0.0353268,0.00632681,0.00632681
13,160.521,1.0956,1.42107,1.32927,0.03872,0.00599,0.00104,0.00051,2.76287,inf,5.95993,0.0297852,0.00678524,0.00678524
14,174.38,1.10434,1.4024,1.32173,0,0,0,0,3.42702,inf,11.9457,0.0242318,0.00723179,0.00723179
15,186.513,1.13124,1.46114,1.34098,0.00046,0.02762,0.00032,0.0001,3.87454,inf,9.91984,0.0186665,0.00766646,0.00766646
16,195.953,1.09517,1.40098,1.29872,0.00077,0.05046,0.00043,0.00015,3.89902,inf,11.5473,0.0130892,0.00808925,0.00808925
17,205.342,1.10055,1.40076,1.33308,0.00189,0.13226,0.00157,0.00041,3.58277,inf,7.75948,0.008416,0.008416,0.008416
18,214.188,1.07176,1.37673,1.3058,0.00149,0.17166,0.00277,0.00101,2.95085,inf,3.89723,0.008317,0.008317,0.008317
19,226.566,1.06365,1.28154,1.26219,0.04088,0.17392,0.0026,0.00137,2.80884,inf,4.03039,0.008218,0.008218,0.008218
20,233.57,1.02257,1.3108,1.2718,0.2696,0.12963,0.02443,0.01172,2.87361,inf,3.66252,0.008119,0.008119,0.008119
21,242.282,1.00547,1.26503,1.26845,0.22535,0.0536,0.0042,0.00182,4.06439,55.6245,5.39231,0.00802,0.00802,0.00802
22,251.494,1.00062,1.23414,1.24084,0.2695,0.03197,0.01435,0.00431,3.56744,31.3681,4.45396,0.007921,0.007921,0.007921
